Subscriber_ID,Last_Name,First_Name,Address,City,State,Date_Enrolled,Disenroll_Date,Status,Notes,Entry_Date,Entry_User,Update_Date,Update_User,Pend_Flag,Pend_Ex_Code,Other_Name,Home_Phone,Work_Phone,Zip_Code,Middle_Name,Name_Suffix,Salutation,County_Code,Address2,Country_ID,Home_Country_Code,Work_Country_Code,Billing_Cycle_ID,Billing_Invoice_Create,Region_Code,Pay_To_Account,Email,Pay_Period,Sponsor_ID,Sponsor_Relate_Code,Issue_State
197545187,G,M,1234 Sunset Blvd,KEARNEYSVILLE,WV,"2018-12-01 00:00:00",,,,"2018-12-19 09:29:33",MemberImport_Conifer,"2019-01-25 13:30:50",MemberImport_Conifer,,,,,,25430,J,,,,Apt 2,,,,,,,,,,,,
544567590,G,J,1234 Sunset Blvd,LEOLA,PA,"2018-12-01 00:00:00","2020-04-30 00:00:00",,,"2018-12-19 09:29:33",MemberImport_Conifer,"2020-05-11 20:12:15",MemberImport_Conifer,,,,,,17540,,,,,Apt 2,,,,,,,,,,,,
733549125,A,L,1234 Sunset Blvd,CUMBERLAND,MD,"2018-12-01 00:00:00","2019-02-28 00:00:00",,,"2018-12-19 09:29:33",MemberImport_Conifer,"2019-03-01 00:57:43",MemberImport_Conifer,,,,,,21502,,,,,Apt 2,,,,,,,,,,,,
797621378,B,W,1234 Sunset Blvd,SEAFORD,DE,"2022-01-01 00:00:00","2023-03-31 00:00:00",,,"2021-12-22 20:12:13",MemberImport_Conifer,"2023-12-04 20:22:55",VBA_Conifer,,,,,,19973,,,,,Apt 2,,,,,,,,,,,,
823509195,S,J,1234 Sunset Blvd,QUAKERTOWN,PA,"2022-01-01 00:00:00",,,,"2021-12-22 20:12:13",MemberImport_Conifer,"2024-02-09 20:13:58",VBA_Conifer,,,,,,18951,M,,,,Apt 2,,,,,,,,,,,,
723494588,G,J,1234 Sunset Blvd,LANSDALE,PA,"2022-01-01 00:00:00",,,,"2021-12-22 20:12:13",MemberImport_Conifer,"2021-12-22 20:12:13",MemberImport_Conifer,,,,,,19446,S,,,,Apt 2,,,,,,,,,,,,
888420157,S,D,1234 Sunset Blvd,PHILADELPHIA,PA,"2022-01-01 00:00:00",,,,"2021-12-22 20:12:13",MemberImport_Conifer,"2023-01-10 20:21:24",VBA_Conifer,,,,,,19144,,,,,Apt 2,,,,,,,,,,,,
654476212,G,W,1234 Sunset Blvd,MASON,TN,"2022-01-01 00:00:00","2024-05-31 00:00:00",,,"2022-01-05 20:13:55",MemberImport_Conifer,"2024-07-01 20:47:47",VBA_Conifer,,,,,,38049,,,,,Apt 2,,,,,,,,,,,,
097210220,F,N,1234 Sunset Blvd,MILLSBORO,DE,"2022-02-01 00:00:00","2023-10-31 00:00:00",,,"2022-02-09 20:18:25",MemberImport_Conifer,"2023-12-04 20:22:55",VBA_Conifer,,,,,,19966,J,,,,Apt 2,,,,,,,,,,,,
861305712,W,M,1234 Sunset Blvd,ALTOONA,PA,"2022-03-01 00:00:00","2024-01-27 00:00:00",,,"2022-02-10 20:16:34",MemberImport_Conifer,"2024-02-07 20:33:15",VBA_Conifer,,,,,,16601,,,,,Apt 2,,,,,,,,,,,,
052805809,G,E,1234 Sunset Blvd,PHILADELPHIA,PA,"2022-01-01 00:00:00","2022-08-31 00:00:00",,,"2022-02-02 20:15:05",MemberImport_Conifer,"2023-08-07 20:28:29",VBA_Conifer,,,,,,19144,M,,,,Apt 2,,,,,,,,,,,,
421020566,G,A,1234 Sunset Blvd,MILLSBORO,DE,"2022-02-01 00:00:00",,,,"2022-02-02 20:15:05",MemberImport_Conifer,"2022-11-02 20:06:18",VBA_Conifer,,,,,,19966,,,,,Apt 2,,,,,,,,,,,,
